,studentID,collegeID,earlyAppl,visited,alumni,outofstate,acceptStatus,acceptProb
4,DU52ZPL2VU,UCLA,-1.0,,-1.0,-1.0,-1.0,
5,DU52ZPL2VU,USC,-1.0,,-1.0,-1.0,1.0,
6,DU52ZPL2VU,Vanderbilt,-1.0,,-1.0,1.0,-1.0,
0,ZZ4SLUJ4HX,Duke,1.0,,1.0,1.0,1.0,
0,5W1JNQA7G0,Rice,1.0,,-1.0,1.0,1.0,
0,OYJTOSYG61,UPenn,-1.0,,-1.0,1.0,1.0,
1,OYJTOSYG61,UCLA,-1.0,,-1.0,-1.0,1.0,
2,OYJTOSYG61,JohnsHopkins,-1.0,,-1.0,1.0,1.0,
0,LTYZSTXOHR,UCB,-1.0,,-1.0,1.0,-1.0,
0,Z8WD49OSTO,CarnegieMellon,-1.0,,-1.0,1.0,1.0,
1,Z8WD49OSTO,JohnsHopkins,-1.0,,1.0,-1.0,-1.0,
0,V42WVD1T18,Dartmouth,1.0,,-1.0,1.0,1.0,
0,I0I6F7FPXD,JohnsHopkins,-1.0,,-1.0,1.0,1.0,
1,I0I6F7FPXD,Northwestern,-1.0,,-1.0,1.0,1.0,
0,ZKWN1C4OY9,Cornell,1.0,,1.0,1.0,1.0,
0,532O7YR0GR,Cornell,-1.0,,-1.0,-1.0,-1.0,
1,532O7YR0GR,Georgetown,-1.0,,-1.0,1.0,0.0,
2,532O7YR0GR,NotreDame,1.0,,-1.0,1.0,1.0,
0,PPJ4K1YSLQ,Dartmouth,-1.0,,-1.0,1.0,-1.0,
1,PPJ4K1YSLQ,Harvard,-1.0,,-1.0,-1.0,-1.0,
0,TURY77MJIM,Brown,-1.0,,-1.0,1.0,1.0,
0,UQ5UT54F79,Columbia,-1.0,,-1.0,-1.0,-1.0,
0,ZWGETVETOJ,Yale,-1.0,,-1.0,1.0,1.0,
1,ZWGETVETOJ,Stanford,-1.0,,-1.0,-1.0,1.0,
0,8OFX1ILO3O,UPenn,1.0,,-1.0,1.0,1.0,
0,07CJQ44YSU,Harvard,1.0,,-1.0,1.0,1.0,
0,GJFIK0009U,UPenn,-1.0,,1.0,1.0,-1.0,
1,GJFIK0009U,Brown,-1.0,,-1.0,1.0,-1.0,
2,GJFIK0009U,Dartmouth,-1.0,,-1.0,1.0,-1.0,
3,GJFIK0009U,Georgetown,-1.0,,-1.0,1.0,-1.0,
4,GJFIK0009U,Northwestern,-1.0,,-1.0,1.0,1.0,
